"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","IT","Italy",0.054021000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","LT","Lithuania",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","LU","Luxembourg",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","LV","Latvia",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","NO","Norway",6.009605350,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","PL","Poland",0.533826620,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","PT","Portugal",0.087393470,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","RO","Romania",0.005207880,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","SI","Slovenia",0.142249060,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2021","SK","Slovakia",0.439578070,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","CZ","Czechia",4.868444080,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","DK","Denmark",1.123706460,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","EE","Estonia",1.276471770,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","EL","Greece",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","EU27_21","EU (without UK)",0.816887000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","EU27_UK_21","EU (with UK until 2019)",0.816887000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","EUEEA30_21","EU/EEA (without UK)",0.984960000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","EUEEAUK_21","EU/EEA (with UK until 2019)",0.984960000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","HU","Hungary",0.299308180,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","IE","Ireland",0.079051320,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","IT","Italy",0.069456050,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","LT","Lithuania",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","LU","Luxembourg",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","LV","Latvia",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","MT","Malta",0.000000000,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","NO","Norway",6.635614440,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","PL","Poland",0.913575560,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","PT","Portugal",0.038639710,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","RO","Romania",2.237106500,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","SI","Slovenia",0.759308640,""
"Lyme Neuroborreliosis","All cases","Notification rate","N/100000","2022","SK","Slovakia",0.570407410,""
